idx,A,B,C,mu,alpha,ehomo,elumo,egap,R2,zpve,U0,U,H,G,Cv,E
1136,1.74129,0.87791,0.7395,2.5399,69.95,0.04451,-0.25414,0.29865,1665.7893,0.18691,-573.632048,-573.620768,-573.619824,-573.66885,41.695,-573.818957977
1137,1.96451,0.81339,0.76468,3.6581,69.91,0.0422,-0.2555,0.2977,1655.0934,0.186481,-573.626953,-573.615509,-573.614564,-573.664355,42.089,-573.8134332
1138,1.85042,0.89527,0.80094,2.9314,69.94,0.04228,-0.23778,0.28006,1592.8748,0.185463,-573.623984,-573.612027,-573.611083,-573.661382,43.415,-573.809447115
1139,2.41749,0.70804,0.62648,6.2548,70.77,0.03067,-0.2418,0.27247,1841.9044,0.186151,-573.631334,-573.61991,-573.618966,-573.668313,42.212,-573.817485394
1140,1.58199,0.90956,0.77573,2.4948,70.23,0.04936,-0.25794,0.3073,1649.4313,0.185393,-573.627487,-573.615554,-573.61461,-573.665265,43.258,-573.812879579
1141,2.43128,0.69514,0.63984,3.8724,70.54,0.04719,-0.25684,0.30403,1836.9731,0.186592,-573.634693,-573.62342,-573.622476,-573.67141,41.857,-573.821284472
1142,1.95841,0.87076,0.8267,4.8638,69.78,0.0463,-0.25351,0.29981,1567.1948,0.186373,-573.62627,-573.614683,-573.613738,-573.663007,42.617,-573.812642178
1144,1.87204,0.83234,0.66203,3.3693,70.51,0.0512,-0.24725,0.29845,1756.3006,0.186064,-573.631204,-573.619614,-573.61867,-573.668684,42.369,-573.817267887
1145,2.17545,0.76222,0.65418,6.3291,70.37,0.03014,-0.23971,0.26985,1778.9347,0.186138,-573.629399,-573.617897,-573.616953,-573.666443,42.45,-573.815536287
1146,1.92594,0.83761,0.69006,4.9116,70.02,0.04592,-0.25255,0.29847,1707.5572,0.186167,-573.628767,-573.617172,-573.616228,-573.666077,42.567,-573.814933917
1147,1.77591,0.9042,0.65006,2.2239,70.05,0.04422,-0.25927,0.30349,1727.5993,0.186452,-573.631549,-573.620179,-573.619235,-573.669049,42.046,-573.818001601
1148,1.84637,0.86419,0.81851,4.6244,70.14,0.04824,-0.24671,0.29495,1595.4341,0.185967,-573.625093,-573.613469,-573.612525,-573.662125,42.675,-573.811060278
