molecule_id,index,smi1,smi2,smi3,rmsd1,rmsd2,rmsd3,mmffenergy
9,102,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.08841533930285041,0.00012985929779727527,0.08852204046564446,65.19604779732448
9,103,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.08917585664535851,7.586884158107386e-05,0.08915345395482195,62.03322702372054
9,104,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.2273280978200979,7.213056032083224e-05,0.2273504665359313,74.83289499497359
9,105,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.1413974906278297,5.394887487771089e-05,0.14140805883303612,64.15972646218715
9,106,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.4611373912322952,6.955305815180732e-05,0.4611472679097297,65.74862489637289
9,107,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.5721828111121354,9.95992865125556e-05,0.5721330366199651,64.24656060143329
9,108,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.060409830456011025,7.795521023309341e-05,0.060406717022762985,68.58119577513166
9,109,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.15337635547746398,9.068729470862005e-05,0.15336899915013266,67.1682629973848
9,111,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.3331589014539244,7.720268231667393e-05,0.3331278709111699,71.90271892465991
9,113,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])F,0.08226631437584546,9.557147847039136e-05,0.0823225072590696,68.75650081662496
