step,epoch,Cyclic_train,Cyclic_val,Cyclic_test,Decay_train,Decay_val,Decay_test
120000,121.2121212,1.5212,1.4662,1.4157,1.3352,1.359,1.3814
121000,122.2222222,1.4044,1.9102,1.8263,1.2932,1.3858,1.4019
122000,123.2323232,1.4317,1.4304,1.4044,1.23,1.3201,1.361
123000,124.2424242,1.4235,1.4424,1.416,1.4035,1.3999,1.4145
124000,125.2525253,1.6713,2.0364,1.9256,1.0589,1.3424,1.3777
125000,126.2626263,1.3228,1.9898,2.0321,1.4983,1.3263,1.3487
126000,127.2727273,1.312,1.7895,1.7105,1.5274,1.3223,1.3571
127000,128.2828283,1.3022,1.2738,1.2604,1.4832,1.3145,1.3327
128000,129.2929293,1.4613,1.3238,1.3061,1.2382,1.2962,1.3304
129000,130.3030303,1.3181,1.2349,1.2576,1.3902,1.47,1.5082
130000,131.3131313,1.3481,1.2715,1.2548,1.4158,1.3185,1.3341
131000,132.3232323,1.3577,1.241,1.255,1.6167,1.3294,1.3511
132000,133.3333333,0.9943,1.474,1.4923,1.305,1.3874,1.4072
133000,134.3434343,1.2744,1.4438,1.443,1.5111,1.3183,1.3395
134000,135.3535354,1.3068,1.3287,1.3283,1.4156,1.2936,1.3185
135000,136.3636364,1.1742,1.3406,1.3197,1.5183,1.2955,1.3323
136000,137.3737374,1.2659,1.1984,1.1927,2.0329,1.3294,1.3559
137000,138.3838384,1.1402,1.2306,1.1743,1.4095,1.3659,1.3991
138000,139.3939394,1.8996,1.5561,1.5623,1.1481,1.2854,1.3436
139000,140.4040404,1.1977,1.2076,1.1962,1.3352,1.3147,1.3495
140000,141.4141414,1.0248,1.2085,1.2434,1.5323,1.2892,1.3496
141000,142.4242424,0.9864,1.1604,1.1534,1.3726,1.4407,1.4653
142000,143.4343434,1.1699,1.1663,1.1391,1.3285,1.3244,1.3372
143000,144.4444444,1.2418,1.1687,1.1487,1.3272,1.2939,1.3044
144000,145.4545455,1.1767,1.137,1.1298,1.1636,1.2787,1.3017
145000,146.4646465,1.1387,1.1371,1.1255,1.1944,1.2886,1.3305
146000,147.4747475,0.9205,1.1442,1.1297,1.2487,1.3101,1.3398
147000,148.4848485,1.1394,1.1278,1.117,1.3559,1.2669,1.3009
148000,149.4949495,1.1931,1.1296,1.1145,1.3021,1.3032,1.3237
149000,150.5050505,1.7401,1.5664,1.5205,1.4001,1.2901,1.2998
150000,151.5151515,1.5973,1.4869,1.4583,1.3413,1.2901,1.3124
151000,152.5252525,1.4845,1.8471,1.7514,1.4918,1.3248,1.3355
152000,153.5353535,2.4905,1.5132,1.566,1.4933,1.2988,1.3169
153000,154.5454545,1.9867,1.8903,1.8278,1.2036,1.2817,1.3126
154000,155.5555556,1.64,1.7467,1.7788,1.2958,1.29,1.3132
155000,156.5656566,1.5609,1.8024,1.7252,1.3526,1.3471,1.3711
156000,157.5757576,2.3878,1.4984,1.5564,1.3354,1.3061,1.323
157000,158.5858586,1.4656,1.6042,1.5608,1.3893,1.2939,1.3161
158000,159.5959596,1.594,1.5061,1.4905,1.5057,1.2743,1.3015
159000,160.6060606,1.968,1.4515,1.4376,1.3442,1.2782,1.323
160000,161.6161616,1.7036,1.4683,1.4652,1.5614,1.3542,1.3752
161000,162.6262626,1.5914,1.6829,1.5934,1.2413,1.3325,1.3415
162000,163.6363636,1.3672,1.4984,1.4851,1.0776,1.2929,1.3196
163000,164.6464646,1.4579,1.4231,1.4516,1.3402,1.2875,1.3299
164000,165.6565657,1.3398,1.6406,1.6813,1.2422,1.2592,1.3068
165000,166.6666667,1.462,1.3693,1.3803,1.2778,1.2611,1.3151
166000,167.6767677,1.6476,2.0649,1.9834,1.3867,1.2687,1.2844
167000,168.6868687,1.2564,1.8113,1.8803,1.2075,1.2814,1.3305
168000,169.6969697,1.6183,1.4217,1.4269,1.1627,1.2697,1.301
169000,170.7070707,1.1474,1.3318,1.299,1.3438,1.2835,1.3051
170000,171.7171717,2.2185,1.6911,1.6987,1.3098,1.2659,1.2837
171000,172.7272727,1.2468,1.3076,1.2559,1.1424,1.2556,1.2854
172000,173.7373737,1.437,1.3271,1.302,1.1195,1.2542,1.2893
173000,174.7474747,1.5453,1.5251,1.5785,1.4398,1.2708,1.2928
174000,175.7575758,1.2543,1.3103,1.2831,1.4956,1.2735,1.3083
175000,176.7676768,1.2516,1.2755,1.246,1.4424,1.3249,1.3557
176000,177.7777778,1.0512,1.2052,1.233,1.2843,1.281,1.3226
177000,178.7878788,1.4261,1.3189,1.3279,1.3755,1.2591,1.2834
178000,179.7979798,1.2951,1.3446,1.3189,1.4439,1.311,1.3336
179000,180.8080808,1.3237,1.2126,1.2104,1.238,1.2594,1.2938
180000,181.8181818,1.326,1.423,1.4322,1.3657,1.2926,1.3242
181000,182.8282828,1.0961,1.1921,1.1958,1.4055,1.2517,1.2831
182000,183.8383838,1.4505,1.2622,1.2547,1.3356,1.2467,1.2813
183000,184.8484848,1.1087,1.1846,1.2138,1.4341,1.2606,1.2828
184000,185.8585859,1.2323,1.2829,1.3015,1.22,1.2457,1.2747
185000,186.8686869,1.1451,1.1167,1.1175,1.1553,1.2519,1.2827
186000,187.8787879,0.9411,1.1229,1.1366,1.2454,1.2436,1.2886
187000,188.8888889,1.1812,1.2201,1.2405,1.162,1.2529,1.2672
188000,189.8989899,1.3958,1.192,1.1653,1.3115,1.277,1.318
189000,190.9090909,1.0123,1.0879,1.0954,1.217,1.2583,1.2862
190000,191.9191919,0.9409,1.0649,1.0708,1.2879,1.2716,1.3021
191000,192.9292929,1.0931,1.1257,1.1075,1.1825,1.2473,1.28
192000,193.9393939,1.2228,1.0567,1.0456,1.2224,1.256,1.2878
193000,194.9494949,1.1071,1.0527,1.0388,1.4661,1.2656,1.283
194000,195.959596,1.0587,1.044,1.0394,1.5435,1.2474,1.2723
195000,196.969697,1.0377,1.0456,1.0364,1.4793,1.238,1.2812
196000,197.979798,0.9067,1.0459,1.0434,1.1183,1.2412,1.2747
197000,198.989899,1.0608,1.0433,1.0366,1.1674,1.2405,1.2746
198000,200,1.2677,1.0425,1.0353,1.202,1.2431,1.2752
199000,201.010101,1.6804,1.349,1.3991,1.1598,1.2554,1.2821
200000,202.020202,1.3222,1.3329,1.3539,1.1485,1.2777,1.2969
201000,203.030303,1.3059,1.5369,1.5392,1.1953,1.2303,1.2702
202000,204.040404,1.2116,1.3346,1.3251,1.3219,1.2579,1.2855
203000,205.0505051,1.6264,1.9684,1.9479,1.2842,1.2396,1.2681
204000,206.0606061,2.1212,1.4699,1.4538,1.1798,1.2244,1.271
205000,207.0707071,1.6868,1.5023,1.4563,1.2814,1.2379,1.2724
206000,208.0808081,1.5285,1.9068,1.9617,1.1633,1.2606,1.2893
207000,209.0909091,1.5507,1.501,1.4503,1.1377,1.2499,1.2823
208000,210.1010101,1.7068,1.9595,1.9808,1.3182,1.2446,1.2736
209000,211.1111111,1.3688,1.364,1.3565,1.2881,1.237,1.267
210000,212.1212121,1.5766,1.6824,1.6471,1.2415,1.2347,1.2732
211000,213.1313131,1.2636,1.547,1.5766,1.4203,1.2351,1.2717
212000,214.1414141,1.5397,1.3138,1.3481,1.1069,1.2234,1.2663
213000,215.1515152,1.7176,1.6253,1.5713,1.2492,1.2338,1.2629
214000,216.1616162,1.2677,1.5523,1.5241,1.2947,1.2397,1.2713
215000,217.1717172,1.6122,1.421,1.3827,1.2228,1.2287,1.2667
216000,218.1818182,1.2816,1.3748,1.424,1.2559,1.2505,1.2854
217000,219.1919192,1.4949,1.5365,1.5986,1.2327,1.2507,1.2846
218000,220.2020202,1.1154,1.3981,1.387,1.2607,1.2269,1.2633
219000,221.2121212,1.3685,1.3716,1.3544,1.602,1.2356,1.2739
220000,222.2222222,1.2159,1.2766,1.2966,1.423,1.2657,1.2985
221000,223.2323232,1.5863,1.2632,1.2438,1.4384,1.2795,1.3057
222000,224.2424242,1.2216,1.3497,1.3309,1.2154,1.2297,1.2618
223000,225.2525253,1.3526,1.5626,1.5649,1.2983,1.2299,1.2699
224000,226.2626263,1.3467,1.2501,1.2127,1.1855,1.2222,1.264
225000,227.2727273,1.6011,1.3283,1.3335,1.2473,1.2305,1.2575
226000,228.2828283,1.279,1.1399,1.2261,1.065,1.2241,1.2617
227000,229.2929293,1.2341,1.158,1.1798,1.3321,1.2311,1.2651
228000,230.3030303,1.0458,1.1434,1.1587,1.3144,1.2435,1.28
229000,231.3131313,1.4343,1.0576,1.082,1.0947,1.2338,1.2674
230000,232.3232323,1.4488,1.1167,1.1185,1.2773,1.2501,1.2831
231000,233.3333333,1.1238,1.0846,1.1226,1.3745,1.2261,1.2637
232000,234.3434343,1.039,1.1643,1.1866,1.1455,1.222,1.2616
233000,235.3535354,0.9462,1.0857,1.0919,1.1759,1.2237,1.2617
234000,236.3636364,1.1915,1.1104,1.0851,1.1837,1.2258,1.2585
235000,237.3737374,1.0652,1.0907,1.1103,1.0062,1.2263,1.256
236000,238.3838384,1.002,1.1565,1.1772,1.1152,1.2235,1.2621
237000,239.3939394,1.0066,1.0098,1.0376,1.238,1.2365,1.2669
238000,240.4040404,0.9549,1.0776,1.0621,1.2107,1.2436,1.2759
239000,241.4141414,0.9871,1.0349,1.039,1.2589,1.2288,1.2648
240000,242.4242424,1.0695,0.9966,1.0152,1.3787,1.2209,1.2603
241000,243.4343434,0.9331,0.9957,1.0026,1.3636,1.2363,1.2712
242000,244.4444444,0.8294,0.9857,0.9893,1.2298,1.2195,1.2622
243000,245.4545455,1.0325,0.9877,0.993,1.3005,1.2198,1.2548
244000,246.4646465,0.9308,0.9898,1.0032,1.4487,1.2384,1.26
245000,247.4747475,0.953,0.9859,0.9926,1.1415,1.2238,1.2596
246000,248.4848485,0.9805,0.9825,0.9921,1.251,1.2221,1.2605
247000,249.4949495,0.9161,0.9815,0.9882,1.156,1.2314,1.2636
248000,250.5050505,2.2797,1.8724,1.8367,1.3393,1.2163,1.2547
249000,251.5151515,1.5124,1.5021,1.5684,1.0879,1.2252,1.2588
250000,252.5252525,1.3481,1.8397,1.7952,1.1987,1.2294,1.2654
251000,253.5353535,1.5667,1.3878,1.4502,1.408,1.2166,1.2572
252000,254.5454545,1.1128,1.5028,1.4815,1.1537,1.2195,1.252
253000,255.5555556,2.3166,1.4577,1.5016,1.1414,1.2167,1.2561
254000,256.5656566,1.5426,1.5216,1.4951,1.2913,1.229,1.2588
255000,257.5757576,1.8861,1.6645,1.7251,1.1819,1.2481,1.2827
256000,258.5858586,1.4543,1.5234,1.5313,1.1686,1.238,1.2694
257000,259.5959596,1.614,1.8721,1.9198,1.192,1.2379,1.2619
258000,260.6060606,1.7015,1.9254,1.9108,1.1409,1.2181,1.2518
259000,261.6161616,2.176,1.7581,1.7449,1.6109,1.2191,1.2596
260000,262.6262626,1.4203,1.7667,1.7597,1.2237,1.2199,1.2555
261000,263.6363636,1.971,1.5316,1.4817,1.1896,1.2149,1.2556
262000,264.6464646,1.4994,1.5566,1.5351,1.4217,1.2207,1.2568
263000,265.6565657,1.9315,1.2745,1.295,1.301,1.2202,1.2552
264000,266.6666667,1.6896,1.494,1.5126,1.2436,1.2182,1.2569
265000,267.6767677,1.2244,1.5237,1.51,1.037,1.2149,1.2519
266000,268.6868687,1.4635,1.2391,1.2729,1.2459,1.2287,1.2567
267000,269.6969697,1.6895,1.56,1.5939,1.1459,1.2201,1.2548
268000,270.7070707,2.0845,1.3378,1.3726,1.4001,1.2277,1.2659
269000,271.7171717,1.158,1.3471,1.3113,1.1558,1.2225,1.2629
270000,272.7272727,1.5105,1.716,1.7325,1.2156,1.2191,1.2544
271000,273.7373737,1.2268,1.1262,1.1356,1.314,1.2265,1.2593
272000,274.7474747,1.321,1.2388,1.2263,1.1879,1.2217,1.2496
273000,275.7575758,1.1819,1.1049,1.0996,1.2003,1.2188,1.2532
274000,276.7676768,1.2875,1.1947,1.2572,1.2843,1.2221,1.257
275000,277.7777778,0.9822,1.1616,1.1399,1.2827,1.2282,1.2534
276000,278.7878788,1.2389,1.2263,1.1556,1.343,1.2218,1.2542
277000,279.7979798,1.1201,1.1629,1.1793,1.2037,1.2214,1.2577
278000,280.8080808,1.0714,1.1713,1.2028,1.2562,1.2201,1.2531
279000,281.8181818,1.1159,1.0097,1.0624,1.4028,1.2202,1.2546
280000,282.8282828,1.1369,1.0819,1.0699,1.3584,1.2245,1.2563
281000,283.8383838,1.1861,1.0665,1.0668,1.2571,1.2152,1.2526
282000,284.8484848,1.0488,1.1278,1.1142,1.1946,1.2164,1.2508
283000,285.8585859,1.0259,0.9831,1.0019,1.125,1.2152,1.2541
284000,286.8686869,0.9785,1.0049,1.0148,1.2242,1.2214,1.2537
285000,287.8787879,0.9666,1.068,1.1074,0.9963,1.2184,1.2532
286000,288.8888889,0.9123,1.0085,1.0303,1.2654,1.216,1.2497
287000,289.8989899,1.0977,1.1062,1.1091,1.2084,1.2172,1.2517
288000,290.9090909,1.0265,0.9681,0.9798,1.2737,1.2172,1.2573
289000,291.9191919,0.978,0.9411,0.9745,1.2972,1.2161,1.2533
290000,292.9292929,0.8898,0.9626,0.9906,1.3081,1.2215,1.2581
291000,293.9393939,1.0035,0.9367,0.9683,1.0524,1.217,1.2515
292000,294.9494949,1.0429,0.9399,0.9704,1.0541,1.2169,1.2517
293000,295.959596,0.9384,0.9483,0.9885,1.2719,1.2144,1.2517
294000,296.969697,0.7786,0.9611,0.9764,1.2924,1.2192,1.2532
295000,297.979798,0.8684,0.9346,0.9647,1.2098,1.2237,1.2565
296000,298.989899,0.9212,0.934,0.958,1.2713,1.2156,1.2496
297000,300,0.9123,0.9316,0.9571,1.2485,1.2163,1.25
298000,301.010101,0.9421,1.1556,1.1701,1.2087,1.2201,1.2539
299000,302.020202,0.9229,1.4047,1.4383,1.2114,1.2182,1.2508
300000,303.030303,1.2951,1.2429,1.2139,1.2098,1.2125,1.2481
301000,304.040404,1.0681,1.2231,1.2439,1.3469,1.2197,1.2516
302000,305.0505051,1.3554,1.2583,1.2336,1.3417,1.2156,1.2524
303000,306.0606061,1.3645,1.275,1.2512,1.2138,1.2132,1.2491
304000,307.0707071,1.7834,1.6888,1.6475,1.2305,1.2228,1.2528
305000,308.0808081,1.8746,1.4875,1.4852,1.4059,1.213,1.2478
306000,309.0909091,1.3624,1.4576,1.4448,1.0393,1.2185,1.2498
307000,310.1010101,1.3764,1.3485,1.4237,1.2548,1.2161,1.2503
